x,y
0,0
0.71510233,5.21758941
2.85869474,10.32287383
6.42575596,15.31009717
11.40795803,20.17154382
17.79378877,24.898151
25.56818437,29.47926382
34.71301927,33.90300269
45.20698369,38.15663073
57.02546116,42.22667624
70.1410184,46.09942258
84.52291544,49.7607857
100.137473,53.19741637
116.9484401,56.39608783
134.9163812,59.34492049
153.9994116,62.03264711
174.1529524,64.44995997
195.3299749,66.58877605
217.4808788,68.44309432
240.5539819,70.0087508
264.4955197,71.28341856
289.2495235,72.26722007
314.758065,72.96211485
340.9616237,73.37202194
367.7990872,73.50306484
395.2077507,73.36295916
423.1234401,72.96113509
451.4811236,72.30861493
480.2145451,71.41776815
509.2565911,70.30182151
538.539413,68.975104
567.9945502,67.45267943
597.5532971,65.74997902
627.1467029,63.8828014
656.7054498,61.86706767
686.160587,59.71869893
715.4435314,57.45361628
744.4854549,55.08725094
773.2188764,52.63491166
801.57656,50.11153978
829.4923718,47.53170923
856.9009128,44.909749
883.7383763,42.25925326
909.941935,39.59381618
935.4505989,36.92654205
960.2044803,34.27053516
984.1460181,31.63853239
1007.219121,29.04278074
1029.370025,26.49601709
1050.547048,24.01036597
1070.700588,21.59795191
1089.783619,19.27077697
1107.75156,17.04084321
1124.562527,14.91966281
1140.177207,12.91874795
1154.558982,11.04887599
1167.674539,9.32094676
1179.493016,7.74475786
1189.986981,6.32986195
1199.131816,5.08483193
1206.906211,4.01750588
1213.29192,3.13461965
1218.274244,2.44180686
1221.841305,1.9435989
1223.984898,1.64342493
1224.7,1.543122
